"path_count","point_count","id","label","s_name","s_id"
26,1468,463,pencil,Bartosz,1663859377825
14,1143,464,clock,Bartosz,1663859377825
5,1006,465,car,woikaz,1663859379804
7,811,466,fish,woikaz,1663859379804
10,668,467,house,woikaz,1663859379804
3,394,468,tree,woikaz,1663859379804
28,1198,469,bicycle,woikaz,1663859379804
26,1166,470,guitar,woikaz,1663859379804
10,530,471,pencil,woikaz,1663859379804
21,1110,472,clock,woikaz,1663859379804
16,1547,473,car,Rupesh Patel,1663859467405
4,323,474,fish,Rupesh Patel,1663859467405
18,742,475,house,Rupesh Patel,1663859467405
11,512,476,tree,Rupesh Patel,1663859467405
36,1498,477,bicycle,Rupesh Patel,1663859467405
18,1132,478,guitar,Rupesh Patel,1663859467405
18,486,479,pencil,Rupesh Patel,1663859467405
13,808,480,clock,Rupesh Patel,1663859467405
11,962,481,car,Ed.,1663859612486
52,1593,482,fish,Ed.,1663859612486
73,1246,483,house,Ed.,1663859612486
125,2329,484,tree,Ed.,1663859612486
39,1338,485,bicycle,Ed.,1663859612486
40,1393,486,guitar,Ed.,1663859612486
14,385,487,pencil,Ed.,1663859612486
14,438,488,clock,Ed.,1663859612486
14,3085,489,car,Onur,1663859649285
6,1802,490,fish,Onur,1663859649285
15,2385,491,house,Onur,1663859649285
3,1138,492,tree,Onur,1663859649285
6,1888,493,bicycle,Onur,1663859649285
10,2243,494,guitar,Onur,1663859649285
8,1341,495,pencil,Onur,1663859649285
10,2286,496,clock,Onur,1663859649285
8,547,497,car,Dvrb,1663859650036
10,403,498,fish,Dvrb,1663859650036
14,390,499,house,Dvrb,1663859650036
4,285,500,tree,Dvrb,1663859650036
15,390,501,bicycle,Dvrb,1663859650036
15,594,502,guitar,Dvrb,1663859650036
13,194,503,pencil,Dvrb,1663859650036
4,115,504,clock,Dvrb,1663859650036
20,828,505,car,anienki,1663859666028
3,132,506,fish,anienki,1663859666028
14,441,507,house,anienki,1663859666028
31,1287,508,tree,anienki,1663859666028
11,358,509,bicycle,anienki,1663859666028
20,1117,510,guitar,anienki,1663859666028
15,413,511,pencil,anienki,1663859666028
3,80,512,clock,anienki,1663859666028
25,518,513,car,Rescian,1663859668459
8,278,514,fish,Rescian,1663859668459
11,322,515,house,Rescian,1663859668459
8,230,516,tree,Rescian,1663859668459
23,828,517,bicycle,Rescian,1663859668459
9,560,518,guitar,Rescian,1663859668459
12,325,519,pencil,Rescian,1663859668459
16,355,520,clock,Rescian,1663859668459
15,506,521,car,Rishi,1663859847700
13,374,522,fish,Rishi,1663859847700
44,711,523,house,Rishi,1663859847700
40,824,524,tree,Rishi,1663859847700
2,82,525,bicycle,Rishi,1663859847700
16,349,526,guitar,Rishi,1663859847700
14,211,527,pencil,Rishi,1663859847700
8,284,528,clock,Rishi,1663859847700
9,648,529,car,arifesat,1663859871742
6,556,530,fish,arifesat,1663859871742
9,630,531,house,arifesat,1663859871742
11,486,532,tree,arifesat,1663859871742
23,1052,533,bicycle,arifesat,1663859871742
12,864,534,guitar,arifesat,1663859871742
6,385,535,pencil,arifesat,1663859871742
22,754,536,clock,arifesat,1663859871742
3,683,537,car,muhib,1663860019864
3,238,538,fish,muhib,1663860019864
7,190,539,house,muhib,1663860019864
8,361,540,tree,muhib,1663860019864
7,243,541,bicycle,muhib,1663860019864
6,372,542,guitar,muhib,1663860019864
200,200,543,pencil,muhib,1663860019864
4,174,544,clock,muhib,1663860019864
12,645,545,car,Draig,1663860074454
25,507,546,fish,Draig,1663860074454
11,789,547,house,Draig,1663860074454
5,264,548,tree,Draig,1663860074454
18,538,549,bicycle,Draig,1663860074454
17,826,550,guitar,Draig,1663860074454
8,366,551,pencil,Draig,1663860074454
7,434,552,clock,Draig,1663860074454
34,1126,553,car,Natan,1663860172117
7,457,554,fish,Natan,1663860172117
16,653,555,house,Natan,1663860172117
5,455,556,tree,Natan,1663860172117
33,1601,557,bicycle,Natan,1663860172117
14,931,558,guitar,Natan,1663860172117
2,178,559,pencil,Natan,1663860172117
4,364,560,clock,Natan,1663860172117
4,185,561,car,Random_P,1663860275179
5,333,562,fish,Random_P,1663860275179
14,343,563,house,Random_P,1663860275179
20,489,564,tree,Random_P,1663860275179
17,341,565,bicycle,Random_P,1663860275179
24,613,566,guitar,Random_P,1663860275179
9,290,567,pencil,Random_P,1663860275179
3,229,568,clock,Random_P,1663860275179
8,404,569,car,nitish,1663860413416
4,539,570,fish,nitish,1663860413416
9,491,571,house,nitish,1663860413416
15,843,572,tree,nitish,1663860413416
9,391,573,bicycle,nitish,1663860413416
10,1430,574,guitar,nitish,1663860413416
4,384,575,pencil,nitish,1663860413416
13,825,576,clock,nitish,1663860413416
8,431,577,car,Riyan,1663860523187
7,278,578,fish,Riyan,1663860523187
9,87,579,house,Riyan,1663860523187
4,207,580,tree,Riyan,1663860523187
8,147,581,bicycle,Riyan,1663860523187
2,253,582,guitar,Riyan,1663860523187
6,93,583,pencil,Riyan,1663860523187
14,95,584,clock,Riyan,1663860523187
5,1070,585,car,Macedo,1663860681427
21,931,586,fish,Macedo,1663860681427
32,1370,587,house,Macedo,1663860681427
21,883,588,tree,Macedo,1663860681427
14,1062,589,bicycle,Macedo,1663860681427
39,1595,590,guitar,Macedo,1663860681427
4,271,591,pencil,Macedo,1663860681427
21,1111,592,clock,Macedo,1663860681427
6,766,593,car,Suicide,1663860687592
16,683,594,fish,Suicide,1663860687592
19,1270,595,house,Suicide,1663860687592
14,1187,596,tree,Suicide,1663860687592
25,1034,597,bicycle,Suicide,1663860687592
13,1136,598,guitar,Suicide,1663860687592
24,674,599,pencil,Suicide,1663860687592
28,879,600,clock,Suicide,1663860687592
3,352,601,car,Shabir,1663860827761
4,435,602,fish,Shabir,1663860827761
3,267,603,house,Shabir,1663860827761
536,536,604,tree,Shabir,1663860827761
12,389,605,bicycle,Shabir,1663860827761
12,347,606,guitar,Shabir,1663860827761
2,102,607,pencil,Shabir,1663860827761
7,169,608,clock,Shabir,1663860827761
11,468,609,car,Utsav,1663860887755
7,197,610,fish,Utsav,1663860887755
10,328,611,house,Utsav,1663860887755
25,473,612,tree,Utsav,1663860887755
19,620,613,bicycle,Utsav,1663860887755
9,493,614,guitar,Utsav,1663860887755
5,90,615,pencil,Utsav,1663860887755
2,128,616,clock,Utsav,1663860887755
10,518,617,car,saurav,1663860894748
8,370,618,fish,saurav,1663860894748
29,962,619,house,saurav,1663860894748
4,490,620,tree,saurav,1663860894748
11,645,621,bicycle,saurav,1663860894748
18,886,622,guitar,saurav,1663860894748
7,494,623,pencil,saurav,1663860894748
8,444,624,clock,saurav,1663860894748
6,353,625,car,kubin,1663860917134
11,346,626,fish,kubin,1663860917134
18,384,627,house,kubin,1663860917134
4,229,628,tree,kubin,1663860917134
11,408,629,bicycle,kubin,1663860917134
5,336,630,guitar,kubin,1663860917134
5,197,631,pencil,kubin,1663860917134
14,283,632,clock,kubin,1663860917134
12,505,633,car,piet,1663860941163
4,248,634,fish,piet,1663860941163
30,1680,635,house,piet,1663860941163
8,447,636,tree,piet,1663860941163
7,433,637,bicycle,piet,1663860941163
8,577,638,guitar,piet,1663860941163
2,473,639,pencil,piet,1663860941163
2,358,640,clock,piet,1663860941163
48,1876,641,car,RaskolnickOFF,1663860950837
15,826,642,fish,RaskolnickOFF,1663860950837
27,1237,643,house,RaskolnickOFF,1663860950837
7,638,644,tree,RaskolnickOFF,1663860950837
28,1146,645,bicycle,RaskolnickOFF,1663860950837
15,480,646,guitar,RaskolnickOFF,1663860950837
14,771,647,pencil,RaskolnickOFF,1663860950837
13,402,648,clock,RaskolnickOFF,1663860950837
25,593,649,car,Sulaiman Mustapha,1663861108313
4,163,650,fish,Sulaiman Mustapha,1663861108313
6,305,651,house,Sulaiman Mustapha,1663861108313
3,214,652,tree,Sulaiman Mustapha,1663861108313
9,331,653,bicycle,Sulaiman Mustapha,1663861108313
9,295,654,guitar,Sulaiman Mustapha,1663861108313
